Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AESKeyFileEncrypter.java",,,,13,114,20
File,"AESKeyFileEncrypterFactory.java",,,,37,323,20
File,"AESKeyFileEncrypterFactoryTest.java",,,,32,274,27
File,"AESKeyFileEncrypterTest.java",,,,27,183,27
File,"AMQBindingURL.java",,,,33,189,24
File,"AMQBody.java",,,,0,10,24
File,"AMQChannel.java",,,,455,2918,150
File,"AMQChannelTest.java",,,,9,192,20
File,"AMQConnectionException.java",,,,3,31,23
File,"AMQDataBlock.java",,,,0,7,29
File,"AMQDecoder.java",,,,26,156,51
File,"AMQDecoderTest.java",,,,27,269,20
File,"AMQException.java",,,,34,111,18
File,"AMQFrame.java",,,,7,61,20
File,"AMQFrame.java",,,,7,42,20
File,"AMQFrameDecodingException.java",,,,3,18,24
File,"AMQInvalidArgumentException.java",,,,4,19,20
File,"AMQMessage.java",,,,17,86,23
File,"AMQMessageHeader.java",,,,0,23,20
File,"AMQMethodBody.java",,,,0,14,22
File,"AMQMethodBodyImpl.java",,,,21,109,28
File,"AMQMethodEvent.java",,,,4,27,55
File,"AMQMethodListener.java",,,,0,7,53
File,"AMQPConnection.java",,,,0,70,29
File,"AMQPConnectionActorTest.java",,,,8,76,44
File,"AMQPConnection_0_10.java",,,,0,28,20
File,"AMQPConnection_0_10Impl.java",,,,56,334,21
File,"AMQPConnection_0_8.java",,,,0,47,20
File,"AMQPConnection_0_8Impl.java",,,,199,1286,44
File,"AMQPConnection_0_8Test.java",,,,5,195,21
File,"AMQPConnection_1_0.java",,,,0,51,19
File,"AMQPConnection_1_0Impl.java",,,,305,1742,33
File,"AMQPDescribedTypeRegistry.java",,,,31,333,21
File,"AMQPFilterTypes.java",,,,3,23,34
File,"AMQPInvalidClassException.java",,,,1,9,25
File,"AMQPProtocolVersionWrapper.java",,,,19,94,20
File,"AMQPProtocolVersionWrapperTest.java",,,,6,56,21
File,"AMQPSession.java",,,,0,41,30
File,"AMQProtocolClassException.java",,,,1,8,25
File,"AMQProtocolHeaderException.java",,,,1,9,20
File,"AMQProtocolInstanceException.java",,,,1,8,25
File,"AMQProtocolVersionException.java",,,,1,8,24
File,"AMQProtocolWriter.java",,,,0,5,30
File,"AMQShortString.java",,,,56,277,36
File,"AMQShortStringEncoding.java",,,,5,36,20
File,"AMQShortStringEncodingTest.java",,,,5,52,28
File,"AMQShortStringTest.java",,,,14,137,45
File,"AMQType.java",,,,134,769,113
File,"AMQTypeMap.java",,,,3,26,20
File,"AMQTypeTest.java",,,,3,30,20
File,"AMQTypedValue.java",,,,50,249,28
File,"AMQVersionAwareProtocolSession.java",,,,0,12,33
File,"AbruptClientDisconnectTest.java",,,,48,405,32
File,"AbstractAMQPConnection.java",,,,157,930,20
File,"AbstractAMQPSession.java",,,,30,225,21
File,"AbstractAccessControlProvider.java",,,,7,60,20
File,"AbstractAuthenticationManager.java",,,,16,122,20
File,"AbstractBDBMessageStore.java",,,,195,1305,93
File,"AbstractBDBPreferenceStore.java",,,,43,341,18
File,"AbstractBrokerLogger.java",,,,4,34,20
File,"AbstractCommonRuleBasedAccessControlProvider.java",,,,27,184,21
File,"AbstractCompositeTypeConstructor.java",,,,32,267,19
File,"AbstractConfigurationChangeListener.java",,,,6,31,20
File,"AbstractConfigurationStoreUpgraderAndRecoverer.java",,,,16,99,20
File,"AbstractConfigurationStoreUpgraderAndRecovererTest.java",,,,14,94,22
File,"AbstractConfiguredObject.java",,,,613,3491,66
File,"AbstractConfiguredObjectTest.java",,,,36,355,23
File,"AbstractConfiguredObjectTest.java",,,,60,918,59
File,"AbstractConfiguredObjectTest.java",,,,49,656,36
File,"AbstractConfiguredObjectTypeFactory.java",,,,11,91,20
File,"AbstractConsumerTarget.java",,,,48,302,21
File,"AbstractConsumerTargetTest.java",,,,24,235,20
File,"AbstractContainer.java",,,,83,444,23
File,"AbstractCramMd5Negotiator.java",,,,17,146,19
File,"AbstractDecoder.java",,,,90,392,28
File,"AbstractDerbyMessageStore.java",,,,35,265,23
File,"AbstractDescribedTypeConstructor.java",,,,3,31,20
File,"AbstractDescribedTypeWriter.java",,,,3,26,20
File,"AbstractDurableConfigurationStoreTestCase.java",,,,32,341,22
File,"AbstractEncoder.java",,,,108,475,29
File,"AbstractExchange.java",,,,161,899,25
File,"AbstractFixedVirtualHostNodeAlias.java",,,,6,40,20
File,"AbstractFrameTransport.java",,,,16,140,18
File,"AbstractInteraction.java",,,,20,114,20
File,"AbstractJDBCConfigurationStore.java",,,,110,977,29
File,"AbstractJDBCMessageStore.java",,,,222,1594,33
File,"AbstractJDBCPreferenceStore.java",,,,55,437,18
File,"AbstractJsonFileStore.java",,,,35,230,19
File,"AbstractKeyStore.java",,,,22,156,21
File,"AbstractLDAPSSLSocketFactory.java",,,,10,62,37
File,"AbstractLazyConstructor.java",,,,2,26,19
File,"AbstractLegacyAccessControlProvider.java",,,,11,86,20
File,"AbstractLinkEndpoint.java",,,,81,508,27
File,"AbstractLinkStore.java",,,,8,102,18
File,"AbstractListWriter.java",,,,4,22,20
File,"AbstractLogSubject.java",,,,5,29,42
File,"AbstractLogger.java",,,,24,148,21
File,"AbstractMapWriter.java",,,,8,52,20
File,"AbstractMemoryStore.java",,,,25,141,20
File,"AbstractMessageLogger.java",,,,28,176,30
File,"AbstractNameAndLevelLogInclusionRule.java",,,,9,66,20
File,"AbstractNonConnectionAcceptingVirtualHost.java",,,,27,175,20
File,"AbstractPasswordFilePrincipalDatabase.java",,,,48,345,44
File,"AbstractPasswordFilePrincipalDatabaseTest.java",,,,14,123,22
File,"AbstractPluginAdapter.java",,,,5,35,20
File,"AbstractPort.java",,,,70,405,21
File,"AbstractPredicateLogInclusionRule.java",,,,9,69,20
File,"AbstractQueue.java",,,,543,3005,88
File,"AbstractQueueEntryList.java",,,,12,71,20
File,"AbstractQueueTestBase.java",,,,103,1055,124
File,"AbstractReceivingLinkEndpoint.java",,,,59,376,20
File,"AbstractRunner.java",,,,7,67,20
File,"AbstractSaslServerNegotiator.java",,,,8,58,19
File,"AbstractScramAuthenticationManager.java",,,,40,309,25
File,"AbstractSection.java",,,,20,142,21
File,"AbstractServerMessageImpl.java",,,,42,255,26
File,"AbstractServerMessageTest.java",,,,12,116,22
File,"AbstractServlet.java",,,,58,368,25
File,"AbstractStandardVirtualHostNode.java",,,,26,200,20
File,"AbstractStandardVirtualHostNodeTest.java",,,,40,492,48
File,"AbstractStoreUpgrade.java",,,,8,49,20
File,"AbstractSystemConfig.java",,,,65,506,22
File,"AbstractSystemMessageSource.java",,,,62,375,20
File,"AbstractTestLogSubject.java",,,,16,124,105
File,"AbstractTestMessages.java",,,,15,104,36
File,"AbstractTestRunner.java",,,,42,315,24
File,"AbstractTrustStore.java",,,,42,291,20
File,"AbstractUnresolvedObject.java",,,,41,236,20
File,"AbstractUpgradeTestCase.java",,,,16,148,22
File,"AbstractVirtualHost.java",,,,465,2742,32
File,"AbstractVirtualHostAlias.java",,,,3,29,20
File,"AbstractVirtualHostLogger.java",,,,3,28,20
File,"AbstractVirtualHostNode.java",,,,69,494,21
File,"AbstractVirtualHostTest.java",,,,25,289,21
File,"Accepted.java",,,,2,21,20
File,"AcceptedWriter.java",,,,3,27,20
File,"AcceptingTransport.java",,,,0,7,20
File,"AccessControl.java",,,,6,53,18
File,"AccessControlFirewallException.java",,,,4,21,21
File,"AccessControlMessages.java",,,,57,379,96
File,"AccessControlProvider.java",,,,0,8,19
File,"AccessControlSource.java",,,,0,6,20
File,"AccessRequestBody.java",,,,20,135,28
File,"AccessRequestOkBody.java",,,,10,63,27
File,"AcknowledgeTest.java",,,,23,194,22
File,"AclAction.java",,,,16,67,18
File,"AclActionTest.java",,,,2,37,18
File,"AclFileAccessControlProvider.java",,,,0,16,20
File,"AclFileAccessControlProviderFactoryTest.java",,,,6,93,21
File,"AclFileAccessControlProviderImpl.java",,,,11,97,21
File,"AclFileAccessControlProviderImplTest.java",,,,3,57,20
File,"AclFileParser.java",,,,45,302,50
File,"AclFileParserTest.java",,,,36,392,53
File,"AclRule.java",,,,0,16,20
File,"AclRulePredicates.java",,,,15,85,22
File,"AclRulePredicatesTest.java",,,,7,79,19
File,"Acquired.java",,,,21,90,20
File,"Action.java",,,,0,8,20
File,"Action.java",,,,0,6,20
File,"Action.java",,,,26,111,33
File,"ActionTest.java",,,,12,101,18
File,"AggregateTicker.java",,,,14,67,22
File,"AggregatedTestResult.java",,,,10,58,24
File,"Aggregator.java",,,,3,20,18
File,"AggregatorTest.java",,,,2,44,18
File,"AllowAllAccessControlProvider.java",,,,0,9,20
File,"AllowAllAccessControlProviderImpl.java",,,,9,65,20
File,"AlreadyKnownDtxException.java",,,,1,8,20
File,"AlternateBinding.java",,,,0,9,20
File,"AlternateBindingRoutingTest.java",,,,2,80,20
File,"AmqpConnectionMetaData.java",,,,0,12,20
File,"AmqpError.java",,,,35,171,20
File,"AmqpErrorException.java",,,,6,39,20
File,"AmqpErrorRuntimeException.java",,,,2,13,19
File,"AmqpListToListConverter.java",,,,5,37,20
File,"AmqpManagementFacade.java",,,,69,564,20
File,"AmqpManagementTest.java",,,,31,835,36
File,"AmqpMapToMapConverter.java",,,,5,37,20
File,"AmqpPort.java",,,,0,136,21
File,"AmqpPortImpl.java",,,,78,545,19
File,"AmqpPortImplTest.java",,,,27,300,28
File,"AmqpSequence.java",,,,4,25,20
File,"AmqpSequenceConstructor.java",,,,5,38,20
File,"AmqpSequenceSection.java",,,,5,30,20
File,"AmqpSequenceSectionConstructor.java",,,,3,26,20
